,inchi_key,sum,no_reactions,average,mass,experiment,plant,sum_class,inchi_keys
cicer arietinum,XPPKVPWEQAFLFU,10459.927426529997,273,38.314752478131865,174.95,0,cicer arietinum,1,"{'XPPKVPWEQAFLFU-UHFFFAOYSA-K', 'XPPKVPWEQAFLFU-UHFFFAOYSA-N'}"
cicer arietinum,KDYFGRWQOYBRFD,8373.532341399998,88,95.15377660681818,118.09,1,cicer arietinum,1,"{'KDYFGRWQOYBRFD-UHFFFAOYSA-L', 'KDYFGRWQOYBRFD-UHFFFAOYSA-N'}"
cicer arietinum,XJLXINKUBYWONI,4285.413384089999,411,10.426796554963504,744.4,0,cicer arietinum,1,"{'XJLXINKUBYWONI-NNYOXOHSSA-O', 'XJLXINKUBYWONI-NNYOXOHSSA-K'}"
cicer arietinum,XCCTYIAWTASOJW,4194.16167273,205,20.45932523282927,401.14,0,cicer arietinum,1,"{'XCCTYIAWTASOJW-XVFCMESISA-N', 'XCCTYIAWTASOJW-XVFCMESISA-K'}"
cicer arietinum,ZJUKTBDSGOFHSH,2762.648989700001,119,23.21553772857143,384.41,1,cicer arietinum,1,{'ZJUKTBDSGOFHSH-WFMPWKQPSA-N'}
cicer arietinum,UDMBCSSLTHHNCD,2645.4089523300004,154,17.177980209935065,347.22,1,cicer arietinum,1,"{'UDMBCSSLTHHNCD-KQYNXXCUSA-L', 'UDMBCSSLTHHNCD-KQYNXXCUSA-N'}"
cicer arietinum,NBIIXXVUZAFLBC,1674.3163986644613,368,4.5497728224577765,97.995,1,cicer arietinum,1,"{'NBIIXXVUZAFLBC-UHFFFAOYSA-L', 'NBIIXXVUZAFLBC-UHFFFAOYSA-N'}"
cicer arietinum,XTWYTFMLZFPYCI,1194.6255605444621,362,3.3000706092388445,427.2,0,cicer arietinum,1,"{'XTWYTFMLZFPYCI-KQYNXXCUSA-K', 'XTWYTFMLZFPYCI-KQYNXXCUSA-N'}"
cicer arietinum,QGWNDRXFNXRZMB,1143.2878046399999,31,36.88025176258064,440.18,0,cicer arietinum,1,"{'QGWNDRXFNXRZMB-UUOKFMHZSA-K', 'QGWNDRXFNXRZMB-UUOKFMHZSA-N'}"
cicer arietinum,ZWIADYZPOWUWEW,865.3396303999999,20,43.26698152,403.18,0,cicer arietinum,1,"{'ZWIADYZPOWUWEW-XVFCMESISA-K', 'ZWIADYZPOWUWEW-XVFCMESISA-N'}"
cicer arietinum,QBUVFDKTZJNUPP,802.3645939999999,5,160.4729188,580.0,0,cicer arietinum,1,{'QBUVFDKTZJNUPP-BBROENKCSA-L'}
cicer arietinum,INPDFIMLLXXDOQ,740.02076,2,370.01038,584.671,0,cicer arietinum,1,{'INPDFIMLLXXDOQ-UAWLBFNISA-L'}
cicer arietinum,CWYNVVGOOAEACU,719.342889,13,55.334068384615385,55.84,0,cicer arietinum,1,{'CWYNVVGOOAEACU-UHFFFAOYSA-N'}
cicer arietinum,BAWFJGJZGIEFAR,714.1083376549998,273,2.615781456611722,662.4,0,cicer arietinum,1,"{'BAWFJGJZGIEFAR-NNYOXOHSSA-O', 'BAWFJGJZGIEFAR-NNYOXOHSSA-M'}"
cicer arietinum,RHGKLRLOHDJJDR,711.2203,6,118.53671666666666,175.19,1,cicer arietinum,1,{'RHGKLRLOHDJJDR-BYPYZUCNSA-N'}
cicer arietinum,IMGVNJNCCGXBHD,638.883834,9,70.98709266666667,783.0,0,cicer arietinum,1,{'IMGVNJNCCGXBHD-UYBVJOGSSA-K'}
cicer arietinum,IERHLVCPSMICTF,589.4576812,43,13.70831816744186,323.2,0,cicer arietinum,1,"{'IERHLVCPSMICTF-XVFCMESISA-L', 'IERHLVCPSMICTF-XVFCMESISA-N'}"
cicer arietinum,XOHUEYCVLUUEJJ,574.3070470000001,6,95.71784116666666,261,0,cicer arietinum,1,"{'XOHUEYCVLUUEJJ-UWTATZPHSA-I', 'XOHUEYCVLUUEJJ-UWTATZPHSA-N'}"
cicer arietinum,NGVDGCNFYWLIFO,558.5170935,11,50.77428122727272,247.14,0,cicer arietinum,1,"{'NGVDGCNFYWLIFO-UHFFFAOYSA-L', 'NGVDGCNFYWLIFO-UHFFFAOYSA-N'}"
cicer arietinum,IGSYEZFZPOZFNC,531.6855800000001,3,177.22852666666668,368.25,0,cicer arietinum,1,"{'IGSYEZFZPOZFNC-LKIWRGPLSA-N', 'IGSYEZFZPOZFNC-MMGXBETBSA-L'}"
cicer arietinum,XAOLJGCZESYRFT,501.311153,5,100.2622306,1846.1,0,cicer arietinum,1,"{'XAOLJGCZESYRFT-SWRRZUCNSA-N', 'XAOLJGCZESYRFT-VHSKNIDJSA-H'}"
cicer arietinum,MPDGHEJMBKOTSU,465.119715,3,155.039905,469.7,0,cicer arietinum,1,{'MPDGHEJMBKOTSU-VOPRYAMFSA-M'}
cicer arietinum,DJJCXFVJDGTHFX,428.3736517039199,29,14.771505231169655,324.18,1,cicer arietinum,1,"{'DJJCXFVJDGTHFX-XVFCMESISA-L', 'DJJCXFVJDGTHFX-XVFCMESISA-N'}"
cicer arietinum,KPTPLMBJPAAERN,404.836088,3,134.94536266666668,608.9,0,cicer arietinum,1,{'KPTPLMBJPAAERN-UHFFFAOYSA-J'}
cicer arietinum,QGJZLNKBHJESQX,391.364375,2,195.6821875,455.7,0,cicer arietinum,1,{'QGJZLNKBHJESQX-FZFNOLFKSA-M'}
cicer arietinum,MIJYXULNPSFWEK,391.364345,2,195.6821725,455.7,1,cicer arietinum,1,{'MIJYXULNPSFWEK-GTOFXWBISA-M'}
cicer arietinum,WUUGFSXJNOTRMR,384.54036329999997,9,42.726707033333334,297.34,1,cicer arietinum,1,{'WUUGFSXJNOTRMR-IOSLPCCCSA-N'}
cicer arietinum,YPZRWBKMTBYPTK,374.55703830000004,20,18.727851915,612.6,1,cicer arietinum,1,"{'YPZRWBKMTBYPTK-BJDJZHNGSA-N', 'YPZRWBKMTBYPTK-BJDJZHNGSA-L'}"
cicer arietinum,UQFZKTIHSICSPG,365.34738,2,182.67369,443.7,0,cicer arietinum,1,{'UQFZKTIHSICSPG-DSHYQQBWSA-M'}
cicer arietinum,PKYFHKIYHBRTPI,359.64243936,6,59.94040656,217.12,0,cicer arietinum,1,"{'PKYFHKIYHBRTPI-UHFFFAOYSA-L', 'PKYFHKIYHBRTPI-UHFFFAOYSA-N'}"
cicer arietinum,WCGUUGGRBIKTOS,355.45605,2,177.728025,456.7,0,cicer arietinum,1,{'WCGUUGGRBIKTOS-GPOJBZKASA-N'}
cicer arietinum,REFJWTPEDVJJIY,354.1645012,9,39.35161124444444,302.23,0,cicer arietinum,1,"{'REFJWTPEDVJJIY-UHFFFAOYSA-N', 'REFJWTPEDVJJIY-UHFFFAOYSA-M'}"
cicer arietinum,HLAWVOWADPNAGN,352.39778700000005,3,117.465929,410.7,0,cicer arietinum,1,{'HLAWVOWADPNAGN-BAHZUFOISA-N'}
cicer arietinum,AWUCVROLDVIAJX,348.6750604,26,13.410579246153846,170.06,1,cicer arietinum,1,"{'AWUCVROLDVIAJX-VKHMYHEASA-N', 'AWUCVROLDVIAJX-VKHMYHEASA-L', 'AWUCVROLDVIAJX-GSVOUGTGSA-N', 'AWUCVROLDVIAJX-GSVOUGTGSA-L'}"
cicer arietinum,KVJWZTLXIROHIL,322.03551,5,64.407102,1405.7,0,cicer arietinum,1,"{'KVJWZTLXIROHIL-XFXUPMIZSA-N', 'KVJWZTLXIROHIL-QDORLFPLSA-J'}"
cicer arietinum,IVLBHBFTRNVIAP,311.884298,9,34.653810888888884,791.0,0,cicer arietinum,1,"{'IVLBHBFTRNVIAP-MEGGAXOGSA-N', 'IVLBHBFTRNVIAP-MEGGAXOGSA-K'}"
cicer arietinum,RSWGJHLUYNHPMX,309.57953,2,154.789765,301.4,0,cicer arietinum,1,{'RSWGJHLUYNHPMX-ONCXSQPRSA-M'}
cicer arietinum,PFCJLVPZSRTASP,308.13354,1,308.13354,1534.8,0,cicer arietinum,1,{'PFCJLVPZSRTASP-ISFHUDAKSA-L'}
cicer arietinum,GZQKNULLWNGMCW,308.1334,1,308.1334,1794.3,0,cicer arietinum,1,{'GZQKNULLWNGMCW-PWQABINMSA-J'}
cicer arietinum,YECLLIMZHNYFCK,304.99142630000006,7,43.57020375714286,1025.9,0,cicer arietinum,1,"{'YECLLIMZHNYFCK-JHGVXFQISA-N', 'YECLLIMZHNYFCK-RRNJGNTNSA-J'}"
cicer arietinum,XGYIMTFOTBMPFP,301.0257133,7,43.00367332857142,251.24,0,cicer arietinum,1,{'XGYIMTFOTBMPFP-KQYNXXCUSA-N'}
cicer arietinum,WHUUTDBJXJRKMK,293.436716723,131,2.2399749368167936,147.13,1,cicer arietinum,1,"{'WHUUTDBJXJRKMK-UHFFFAOYSA-N', 'WHUUTDBJXJRKMK-VKHMYHEASA-N', 'WHUUTDBJXJRKMK-VKHMYHEASA-M'}"
cicer arietinum,FGCUSSRGQNHZRW,283.53834,2,141.76917,218.33,0,cicer arietinum,1,{'FGCUSSRGQNHZRW-UMVBOHGHSA-N'}
cicer arietinum,LLVVMXFNKAHVEZ,282.1,1,282.1,352.25,0,cicer arietinum,1,{'LLVVMXFNKAHVEZ-KMBKDFKYSA-N'}
cicer arietinum,QTBSBXVTEAMEQO,280.82086019999997,31,9.058737425806452,59.04,0,cicer arietinum,1,"{'QTBSBXVTEAMEQO-UHFFFAOYSA-N', 'QTBSBXVTEAMEQO-UHFFFAOYSA-M'}"
cicer arietinum,ZKNHGZHOGBDPIA,278.721752,3,92.90725066666667,631.7,0,cicer arietinum,1,{'ZKNHGZHOGBDPIA-ZOWBABNGSA-N'}
cicer arietinum,OSJPPGNTCRNQQC,276.8342496,18,15.379680533333334,186.06,0,cicer arietinum,1,"{'OSJPPGNTCRNQQC-UWTATZPHSA-N', 'OSJPPGNTCRNQQC-UWTATZPHSA-K'}"
cicer arietinum,QJVMEAZHJKXWJD,269.068926,2,134.534463,396.6,0,cicer arietinum,1,{'QJVMEAZHJKXWJD-HESBYNJASA-N'}
cicer arietinum,ZFPNNOXCEDQJQS,263.40965570000003,3,87.80321856666667,790.7,0,cicer arietinum,1,"{'ZFPNNOXCEDQJQS-SSVOXRMNSA-M', 'ZFPNNOXCEDQJQS-RXAGCIOPSA-N'}"
cicer arietinum,CAOMCZAIALVUPA,262.77414,2,131.38707,120.17,0,cicer arietinum,1,"{'CAOMCZAIALVUPA-UHFFFAOYSA-N', 'CAOMCZAIALVUPA-UHFFFAOYSA-M'}"
cicer arietinum,IKMDFBPHZNJCSN,258.35699,2,129.178495,317.23,0,cicer arietinum,1,"{'IKMDFBPHZNJCSN-UHFFFAOYSA-N', 'IKMDFBPHZNJCSN-UHFFFAOYSA-M'}"
cicer arietinum,DFPAKSUCGFBDDF,257.6249158,5,51.52498316,122.12,1,cicer arietinum,1,{'DFPAKSUCGFBDDF-UHFFFAOYSA-N'}
cicer arietinum,SFRQRNJMIIUYDI,254.90050000000002,4,63.725125000000006,276.07,0,cicer arietinum,1,"{'SFRQRNJMIIUYDI-UHNVWZDZSA-N', 'SFRQRNJMIIUYDI-UHNVWZDZSA-L'}"
cicer arietinum,LHFJOBMTAJJOTB,251.64483919999998,6,41.94080653333334,175.12,0,cicer arietinum,1,{'LHFJOBMTAJJOTB-JLAZNSOCSA-N'}
cicer arietinum,YVLXSHWZFBDIEL,250.744304,2,125.372152,721.7,0,cicer arietinum,1,{'YVLXSHWZFBDIEL-SRDSWEMOSA-N'}
cicer arietinum,WHTCPDAXWFLDIH,248.59559449999998,6,41.43259908333333,427.2,0,cicer arietinum,1,"{'WHTCPDAXWFLDIH-KQYNXXCUSA-N', 'WHTCPDAXWFLDIH-KQYNXXCUSA-J'}"
cicer arietinum,ASCFNMCAHFUBCO,243.6434665,4,60.910866625,153.01,0,cicer arietinum,1,"{'ASCFNMCAHFUBCO-UHFFFAOYSA-K', 'ASCFNMCAHFUBCO-UHFFFAOYSA-N'}"
cicer arietinum,NCMVOABPESMRCP,242.70908065999998,10,24.270908066,305.18,0,cicer arietinum,1,"{'NCMVOABPESMRCP-SHYZEUOFSA-N', 'NCMVOABPESMRCP-SHYZEUOFSA-L'}"
cicer arietinum,FUSUHKVFWTUUBE,242.46755000000002,4,60.616887500000004,70.09,0,cicer arietinum,1,{'FUSUHKVFWTUUBE-UHFFFAOYSA-N'}
cicer arietinum,PKFDLKSEZWEFGL,240.324037,2,120.1620185,688.4,0,cicer arietinum,1,{'PKFDLKSEZWEFGL-MHARETSRSA-L'}
cicer arietinum,UKAIYBGRLWQHDQ,231.90826,6,38.651376666666664,440.7,0,cicer arietinum,1,"{'UKAIYBGRLWQHDQ-VCUIEPQISA-N', 'UKAIYBGRLWQHDQ-KWRVYEIKSA-N'}"
cicer arietinum,XXKMKYGWXRCAHF,227.50732,1,227.50732,1352.4,0,cicer arietinum,1,{'XXKMKYGWXRCAHF-DTIVLPDMSA-O'}
cicer arietinum,AEMOLEFTQBMNLQ,226.58,4,56.645,194.14,1,cicer arietinum,1,"{'AEMOLEFTQBMNLQ-AQKNRBDQSA-N', 'AEMOLEFTQBMNLQ-YMDCURPLSA-N'}"
cicer arietinum,WNVFJMYPVBOLKV,217.899934,2,108.949967,1074,0,cicer arietinum,1,"{'WNVFJMYPVBOLKV-YLNUKALLSA-J', 'WNVFJMYPVBOLKV-PJDIVXIPSA-N'}"
cicer arietinum,HTJXTKBIUVFUAR,216.49871599999997,4,54.124679,597.26,0,cicer arietinum,1,"{'HTJXTKBIUVFUAR-XHIBXCGHSA-N', 'HTJXTKBIUVFUAR-XHIBXCGHSA-J'}"
cicer arietinum,NNICRUQPODTGRU,216.154107,4,54.03852675,133.15,0,cicer arietinum,1,{'NNICRUQPODTGRU-QMMMGPOBSA-N'}
cicer arietinum,QAOWNCQODCNURD,212.47666700000002,12,17.706388916666665,96.07,1,cicer arietinum,1,"{'QAOWNCQODCNURD-UHFFFAOYSA-L', 'QAOWNCQODCNURD-UHFFFAOYSA-N'}"
cicer arietinum,LSNNMFCWUKXFEE,204.54928920000003,16,12.784330575,80.07,0,cicer arietinum,0,"{'LSNNMFCWUKXFEE-UHFFFAOYSA-M', 'LSNNMFCWUKXFEE-UHFFFAOYSA-N', 'LSNNMFCWUKXFEE-UHFFFAOYSA-L'}"
cicer arietinum,HQLQCGJTTNRNTL,203.48756,3,67.82918666666666,626.9,0,cicer arietinum,0,{'HQLQCGJTTNRNTL-XXRBRTKDSA-J'}
cicer arietinum,CWVRJTMFETXNAD,194.6347554,5,38.92695108,353.3,0,cicer arietinum,0,"{'CWVRJTMFETXNAD-JUHZACGLSA-M', 'CWVRJTMFETXNAD-JUHZACGLSA-N'}"
cicer arietinum,SEWWFHKIKWFJNV,193.6293875,2,96.81469375,101.15,0,cicer arietinum,0,{'SEWWFHKIKWFJNV-WHEKYOLUSA-N'}
cicer arietinum,SXFSQZDSUWACKX,191.026183,5,38.2052366,148.18,0,cicer arietinum,0,"{'SXFSQZDSUWACKX-UHFFFAOYSA-N', 'SXFSQZDSUWACKX-UHFFFAOYSA-M'}"
cicer arietinum,FPIOBTBNRZPWJW,191.00476,2,95.50238,300.26,0,cicer arietinum,0,"{'FPIOBTBNRZPWJW-UHFFFAOYSA-N', 'FPIOBTBNRZPWJW-UHFFFAOYSA-M'}"
cicer arietinum,QMPHZIPNNJOWQI,190.4047354,4,47.60118385,336.29,0,cicer arietinum,0,"{'QMPHZIPNNJOWQI-GDDAOPKQSA-M', 'QMPHZIPNNJOWQI-GDDAOPKQSA-N'}"
