,inchi_key,sum,no_reactions,average,mass,experiment,plant,sum_class,inchi_keys
daucus carota,XPPKVPWEQAFLFU,10129.970612430003,285,35.5437565348421,174.95,0,daucus carota,1,"{'XPPKVPWEQAFLFU-UHFFFAOYSA-K', 'XPPKVPWEQAFLFU-UHFFFAOYSA-N'}"
daucus carota,KDYFGRWQOYBRFD,9259.297623399998,96,96.45101691041667,118.09,1,daucus carota,1,"{'KDYFGRWQOYBRFD-UHFFFAOYSA-L', 'KDYFGRWQOYBRFD-UHFFFAOYSA-N'}"
daucus carota,XJLXINKUBYWONI,4406.695566900002,412,10.69586302645631,744.4,0,daucus carota,1,"{'XJLXINKUBYWONI-NNYOXOHSSA-O', 'XJLXINKUBYWONI-NNYOXOHSSA-K'}"
daucus carota,XCCTYIAWTASOJW,3866.10769507,190,20.347935237210525,401.14,0,daucus carota,1,"{'XCCTYIAWTASOJW-XVFCMESISA-N', 'XCCTYIAWTASOJW-XVFCMESISA-K'}"
daucus carota,UDMBCSSLTHHNCD,2694.35583933,149,18.082925096174495,347.22,1,daucus carota,1,"{'UDMBCSSLTHHNCD-KQYNXXCUSA-L', 'UDMBCSSLTHHNCD-KQYNXXCUSA-N'}"
daucus carota,ZJUKTBDSGOFHSH,2026.7018593999992,107,18.941138872897195,384.41,1,daucus carota,1,{'ZJUKTBDSGOFHSH-WFMPWKQPSA-N'}
daucus carota,NBIIXXVUZAFLBC,1269.5590193899993,329,3.858842004224924,97.995,1,daucus carota,1,"{'NBIIXXVUZAFLBC-UHFFFAOYSA-L', 'NBIIXXVUZAFLBC-UHFFFAOYSA-N'}"
daucus carota,QGWNDRXFNXRZMB,1233.85378744,32,38.5579308575,440.18,0,daucus carota,1,"{'QGWNDRXFNXRZMB-UUOKFMHZSA-K', 'QGWNDRXFNXRZMB-UUOKFMHZSA-N'}"
daucus carota,XTWYTFMLZFPYCI,1107.1336840700005,326,3.3961155953067483,427.2,0,daucus carota,1,"{'XTWYTFMLZFPYCI-KQYNXXCUSA-K', 'XTWYTFMLZFPYCI-KQYNXXCUSA-N'}"
daucus carota,ZWIADYZPOWUWEW,865.3396303999999,20,43.26698152,403.18,0,daucus carota,1,"{'ZWIADYZPOWUWEW-XVFCMESISA-K', 'ZWIADYZPOWUWEW-XVFCMESISA-N'}"
