,inchi_key,sum,no_reactions,average,mass,experiment,plant,sum_class,inchi_keys
glycine max,XPPKVPWEQAFLFU,12259.236498169998,311,39.4187668751447,174.95,0,glycine max,1,"{'XPPKVPWEQAFLFU-UHFFFAOYSA-K', 'XPPKVPWEQAFLFU-UHFFFAOYSA-N'}"
glycine max,KDYFGRWQOYBRFD,9466.109203399996,97,97.5887546742268,118.09,1,glycine max,1,"{'KDYFGRWQOYBRFD-UHFFFAOYSA-L', 'KDYFGRWQOYBRFD-UHFFFAOYSA-N'}"
glycine max,XCCTYIAWTASOJW,4286.801159069999,244,17.568857209303278,401.14,0,glycine max,1,"{'XCCTYIAWTASOJW-XVFCMESISA-N', 'XCCTYIAWTASOJW-XVFCMESISA-K'}"
glycine max,UDMBCSSLTHHNCD,3713.2832598300006,165,22.50474702927273,347.22,1,glycine max,1,"{'UDMBCSSLTHHNCD-KQYNXXCUSA-L', 'UDMBCSSLTHHNCD-KQYNXXCUSA-N'}"
glycine max,XJLXINKUBYWONI,2991.8075802200005,435,6.877718575218391,744.4,0,glycine max,1,"{'XJLXINKUBYWONI-NNYOXOHSSA-O', 'XJLXINKUBYWONI-NNYOXOHSSA-K'}"
glycine max,ZJUKTBDSGOFHSH,2438.978645700001,141,17.297720891489362,384.41,1,glycine max,1,{'ZJUKTBDSGOFHSH-WFMPWKQPSA-N'}
glycine max,NBIIXXVUZAFLBC,2289.67680983446,380,6.025465289038057,97.995,1,glycine max,1,"{'NBIIXXVUZAFLBC-UHFFFAOYSA-L', 'NBIIXXVUZAFLBC-UHFFFAOYSA-N'}"
glycine max,QGWNDRXFNXRZMB,1237.24862214,34,36.389665357058824,440.18,0,glycine max,1,"{'QGWNDRXFNXRZMB-UUOKFMHZSA-K', 'QGWNDRXFNXRZMB-UUOKFMHZSA-N'}"
glycine max,LTYOQGRJFJAKNA,924.2637817,49,18.862526157142856,853.6,0,glycine max,1,"{'LTYOQGRJFJAKNA-DVVLENMVSA-I', 'LTYOQGRJFJAKNA-VFLPNFFSSA-N'}"
glycine max,XTWYTFMLZFPYCI,870.7346724444621,339,2.5685388567683236,427.2,0,glycine max,1,"{'XTWYTFMLZFPYCI-KQYNXXCUSA-K', 'XTWYTFMLZFPYCI-KQYNXXCUSA-N'}"
glycine max,ZWIADYZPOWUWEW,865.3396303999999,20,43.26698152,403.18,0,glycine max,1,"{'ZWIADYZPOWUWEW-XVFCMESISA-K', 'ZWIADYZPOWUWEW-XVFCMESISA-N'}"
glycine max,CWYNVVGOOAEACU,836.211053,11,76.01918663636364,55.84,0,glycine max,1,{'CWYNVVGOOAEACU-UHFFFAOYSA-N'}
