,inchi_key,sum,no_reactions,average,mass,experiment,plant,sum_class,inchi_keys
lactuca sativa,XPPKVPWEQAFLFU,9817.44815823,289,33.97040885200692,174.95,0,lactuca sativa,1,"{'XPPKVPWEQAFLFU-UHFFFAOYSA-K', 'XPPKVPWEQAFLFU-UHFFFAOYSA-N'}"
lactuca sativa,KDYFGRWQOYBRFD,8400.594036399996,87,96.55855214252874,118.09,1,lactuca sativa,1,"{'KDYFGRWQOYBRFD-UHFFFAOYSA-L', 'KDYFGRWQOYBRFD-UHFFFAOYSA-N'}"
lactuca sativa,XJLXINKUBYWONI,5016.864861109998,437,11.480239956773456,744.4,0,lactuca sativa,1,"{'XJLXINKUBYWONI-NNYOXOHSSA-O', 'XJLXINKUBYWONI-NNYOXOHSSA-K'}"
lactuca sativa,XCCTYIAWTASOJW,3719.6015429700005,199,18.69146504005025,401.14,0,lactuca sativa,1,"{'XCCTYIAWTASOJW-XVFCMESISA-N', 'XCCTYIAWTASOJW-XVFCMESISA-K'}"
lactuca sativa,ZJUKTBDSGOFHSH,3033.932232700001,128,23.70259556796875,384.41,1,lactuca sativa,1,{'ZJUKTBDSGOFHSH-WFMPWKQPSA-N'}
lactuca sativa,UDMBCSSLTHHNCD,2410.7625386300006,157,15.355175405286625,347.22,1,lactuca sativa,1,"{'UDMBCSSLTHHNCD-KQYNXXCUSA-L', 'UDMBCSSLTHHNCD-KQYNXXCUSA-N'}"
lactuca sativa,RHGKLRLOHDJJDR,1486.8623,8,185.8577875,175.19,1,lactuca sativa,1,{'RHGKLRLOHDJJDR-BYPYZUCNSA-N'}
lactuca sativa,NBIIXXVUZAFLBC,1245.7480536644612,336,3.7075834930489933,97.995,1,lactuca sativa,1,"{'NBIIXXVUZAFLBC-UHFFFAOYSA-L', 'NBIIXXVUZAFLBC-UHFFFAOYSA-N'}"
lactuca sativa,QGWNDRXFNXRZMB,1054.82260194,30,35.160753398,440.18,0,lactuca sativa,1,"{'QGWNDRXFNXRZMB-UUOKFMHZSA-K', 'QGWNDRXFNXRZMB-UUOKFMHZSA-N'}"
lactuca sativa,XTWYTFMLZFPYCI,973.882651044462,331,2.942243658744597,427.2,0,lactuca sativa,1,"{'XTWYTFMLZFPYCI-KQYNXXCUSA-K', 'XTWYTFMLZFPYCI-KQYNXXCUSA-N'}"
lactuca sativa,ZWIADYZPOWUWEW,865.3396303999999,20,43.26698152,403.18,0,lactuca sativa,1,"{'ZWIADYZPOWUWEW-XVFCMESISA-K', 'ZWIADYZPOWUWEW-XVFCMESISA-N'}"
lactuca sativa,QBUVFDKTZJNUPP,802.3645939999999,5,160.4729188,580.0,0,lactuca sativa,1,{'QBUVFDKTZJNUPP-BBROENKCSA-L'}
lactuca sativa,CWYNVVGOOAEACU,768.9628030000001,12,64.08023358333334,55.84,0,lactuca sativa,1,{'CWYNVVGOOAEACU-UHFFFAOYSA-N'}
lactuca sativa,IMGVNJNCCGXBHD,638.883834,8,79.86047925,783.0,0,lactuca sativa,1,{'IMGVNJNCCGXBHD-UYBVJOGSSA-K'}
lactuca sativa,XOHUEYCVLUUEJJ,574.3070470000001,6,95.71784116666666,261,0,lactuca sativa,1,"{'XOHUEYCVLUUEJJ-UWTATZPHSA-I', 'XOHUEYCVLUUEJJ-UWTATZPHSA-N'}"
lactuca sativa,NGVDGCNFYWLIFO,558.5170935,11,50.77428122727272,247.14,0,lactuca sativa,1,"{'NGVDGCNFYWLIFO-UHFFFAOYSA-L', 'NGVDGCNFYWLIFO-UHFFFAOYSA-N'}"
lactuca sativa,IERHLVCPSMICTF,547.1425926999999,40,13.6785648175,323.2,1,lactuca sativa,1,"{'IERHLVCPSMICTF-XVFCMESISA-L', 'IERHLVCPSMICTF-XVFCMESISA-N'}"
lactuca sativa,WHUUTDBJXJRKMK,521.2758429229999,130,4.009814176330769,147.13,1,lactuca sativa,1,"{'WHUUTDBJXJRKMK-UHFFFAOYSA-N', 'WHUUTDBJXJRKMK-VKHMYHEASA-N', 'WHUUTDBJXJRKMK-VKHMYHEASA-M'}"
lactuca sativa,AWUCVROLDVIAJX,443.5345274,23,19.28410988695652,172.07,1,lactuca sativa,1,"{'AWUCVROLDVIAJX-VKHMYHEASA-N', 'AWUCVROLDVIAJX-GSVOUGTGSA-N', 'AWUCVROLDVIAJX-GSVOUGTGSA-L'}"
lactuca sativa,KPTPLMBJPAAERN,404.836088,3,134.94536266666668,608.9,0,lactuca sativa,1,{'KPTPLMBJPAAERN-UHFFFAOYSA-J'}
lactuca sativa,PLQMEXSCSAIXGB,396.59426,2,198.29713,233.33,0,lactuca sativa,1,{'PLQMEXSCSAIXGB-SAXRGWBVSA-M'}
lactuca sativa,QGJZLNKBHJESQX,391.364375,2,195.6821875,455.7,0,lactuca sativa,1,{'QGJZLNKBHJESQX-FZFNOLFKSA-M'}
lactuca sativa,MIJYXULNPSFWEK,391.364345,2,195.6821725,455.7,0,lactuca sativa,1,{'MIJYXULNPSFWEK-GTOFXWBISA-M'}
lactuca sativa,MPDGHEJMBKOTSU,391.364285,2,195.6821425,469.7,0,lactuca sativa,1,{'MPDGHEJMBKOTSU-VOPRYAMFSA-M'}
lactuca sativa,XGYIMTFOTBMPFP,391.0797933,8,48.8849741625,251.24,0,lactuca sativa,1,{'XGYIMTFOTBMPFP-KQYNXXCUSA-N'}
lactuca sativa,ORAJWSYKRGVTDP,376.128046,4,94.0320115,179.19,0,lactuca sativa,1,{'ORAJWSYKRGVTDP-UHFFFAOYSA-N'}
lactuca sativa,YPZRWBKMTBYPTK,368.1328973,19,19.37541564736842,612.6,1,lactuca sativa,1,"{'YPZRWBKMTBYPTK-BJDJZHNGSA-N', 'YPZRWBKMTBYPTK-BJDJZHNGSA-L'}"
lactuca sativa,UQFZKTIHSICSPG,365.34738,2,182.67369,443.7,0,lactuca sativa,1,{'UQFZKTIHSICSPG-DSHYQQBWSA-M'}
lactuca sativa,REFJWTPEDVJJIY,361.6862297,10,36.16862297,302.23,0,lactuca sativa,1,"{'REFJWTPEDVJJIY-UHFFFAOYSA-N', 'REFJWTPEDVJJIY-UHFFFAOYSA-M'}"
lactuca sativa,PKYFHKIYHBRTPI,359.64243936,6,59.94040656,217.12,0,lactuca sativa,1,"{'PKYFHKIYHBRTPI-UHFFFAOYSA-L', 'PKYFHKIYHBRTPI-UHFFFAOYSA-N'}"
lactuca sativa,WCGUUGGRBIKTOS,355.45605,2,177.728025,456.7,0,lactuca sativa,1,{'WCGUUGGRBIKTOS-GPOJBZKASA-N'}
lactuca sativa,HLAWVOWADPNAGN,352.39778700000005,3,117.465929,410.7,0,lactuca sativa,1,{'HLAWVOWADPNAGN-BAHZUFOISA-N'}
lactuca sativa,WUUGFSXJNOTRMR,341.91149629999995,9,37.99016625555556,297.34,1,lactuca sativa,1,{'WUUGFSXJNOTRMR-IOSLPCCCSA-N'}
lactuca sativa,DJJCXFVJDGTHFX,314.82494570392,28,11.243748060854285,324.18,1,lactuca sativa,1,"{'DJJCXFVJDGTHFX-XVFCMESISA-L', 'DJJCXFVJDGTHFX-XVFCMESISA-N'}"
lactuca sativa,IVLBHBFTRNVIAP,311.884298,9,34.653810888888884,791.0,0,lactuca sativa,1,"{'IVLBHBFTRNVIAP-MEGGAXOGSA-N', 'IVLBHBFTRNVIAP-MEGGAXOGSA-K'}"
lactuca sativa,YECLLIMZHNYFCK,311.36862360000003,6,51.8947706,1025.9,0,lactuca sativa,1,"{'YECLLIMZHNYFCK-JHGVXFQISA-N', 'YECLLIMZHNYFCK-RRNJGNTNSA-J'}"
lactuca sativa,RSWGJHLUYNHPMX,309.57953,2,154.789765,301.4,0,lactuca sativa,1,{'RSWGJHLUYNHPMX-ONCXSQPRSA-M'}
lactuca sativa,WHTCPDAXWFLDIH,301.93764350000004,27,11.182875685185184,427.2,0,lactuca sativa,1,"{'WHTCPDAXWFLDIH-KQYNXXCUSA-N', 'WHTCPDAXWFLDIH-KQYNXXCUSA-J'}"
lactuca sativa,FGCUSSRGQNHZRW,283.53834,2,141.76917,218.33,0,lactuca sativa,1,{'FGCUSSRGQNHZRW-UMVBOHGHSA-N'}
lactuca sativa,LLVVMXFNKAHVEZ,282.1,1,282.1,352.25,0,lactuca sativa,1,{'LLVVMXFNKAHVEZ-KMBKDFKYSA-N'}
lactuca sativa,ZKNHGZHOGBDPIA,278.721752,3,92.90725066666667,631.7,0,lactuca sativa,1,{'ZKNHGZHOGBDPIA-ZOWBABNGSA-N'}
lactuca sativa,OSJPPGNTCRNQQC,276.8342496,18,15.379680533333334,186.06,1,lactuca sativa,1,"{'OSJPPGNTCRNQQC-UWTATZPHSA-N', 'OSJPPGNTCRNQQC-UWTATZPHSA-K'}"
lactuca sativa,QJVMEAZHJKXWJD,269.068926,2,134.534463,396.6,0,lactuca sativa,1,{'QJVMEAZHJKXWJD-HESBYNJASA-N'}
lactuca sativa,IGSYEZFZPOZFNC,267.72,2,133.86,370.26,0,lactuca sativa,1,{'IGSYEZFZPOZFNC-LKIWRGPLSA-N'}
lactuca sativa,IKMDFBPHZNJCSN,266.70867499999997,3,88.90289166666666,317.23,0,lactuca sativa,1,"{'IKMDFBPHZNJCSN-UHFFFAOYSA-N', 'IKMDFBPHZNJCSN-UHFFFAOYSA-M'}"
lactuca sativa,ZFPNNOXCEDQJQS,263.40965570000003,3,87.80321856666667,790.7,0,lactuca sativa,1,"{'ZFPNNOXCEDQJQS-SSVOXRMNSA-M', 'ZFPNNOXCEDQJQS-RXAGCIOPSA-N'}"
