,inchi_key,sum,no_reactions,average,mass,experiment,plant,sum_class,inchi_keys
malus domestica,XPPKVPWEQAFLFU,9726.681387430002,282,34.49177796960993,174.95,0,malus domestica,1,"{'XPPKVPWEQAFLFU-UHFFFAOYSA-K', 'XPPKVPWEQAFLFU-UHFFFAOYSA-N'}"
malus domestica,KDYFGRWQOYBRFD,8764.608716399996,91,96.3143814989011,118.09,1,malus domestica,1,"{'KDYFGRWQOYBRFD-UHFFFAOYSA-L', 'KDYFGRWQOYBRFD-UHFFFAOYSA-N'}"
malus domestica,XCCTYIAWTASOJW,4261.082153169998,207,20.584937938019323,401.14,0,malus domestica,1,"{'XCCTYIAWTASOJW-XVFCMESISA-N', 'XCCTYIAWTASOJW-XVFCMESISA-K'}"
malus domestica,XJLXINKUBYWONI,3942.804984890002,415,9.500734903349398,744.4,0,malus domestica,1,"{'XJLXINKUBYWONI-NNYOXOHSSA-O', 'XJLXINKUBYWONI-NNYOXOHSSA-K'}"
malus domestica,ZJUKTBDSGOFHSH,2665.8262006000014,133,20.04380601954887,384.41,0,malus domestica,1,{'ZJUKTBDSGOFHSH-WFMPWKQPSA-N'}
malus domestica,UDMBCSSLTHHNCD,2458.697032830001,155,15.862561502129033,347.22,1,malus domestica,1,"{'UDMBCSSLTHHNCD-KQYNXXCUSA-L', 'UDMBCSSLTHHNCD-KQYNXXCUSA-N'}"
malus domestica,NBIIXXVUZAFLBC,1298.8266361644614,344,3.7756588260594817,97.995,1,malus domestica,1,"{'NBIIXXVUZAFLBC-UHFFFAOYSA-L', 'NBIIXXVUZAFLBC-UHFFFAOYSA-N'}"
malus domestica,QGWNDRXFNXRZMB,1230.42141444,31,39.691013369032255,440.18,0,malus domestica,1,"{'QGWNDRXFNXRZMB-UUOKFMHZSA-K', 'QGWNDRXFNXRZMB-UUOKFMHZSA-N'}"
malus domestica,XTWYTFMLZFPYCI,968.0616368444622,338,2.86408768297178,427.2,1,malus domestica,1,"{'XTWYTFMLZFPYCI-KQYNXXCUSA-K', 'XTWYTFMLZFPYCI-KQYNXXCUSA-N'}"
malus domestica,ZWIADYZPOWUWEW,865.3396303999999,20,43.26698152,403.18,0,malus domestica,1,"{'ZWIADYZPOWUWEW-XVFCMESISA-K', 'ZWIADYZPOWUWEW-XVFCMESISA-N'}"
