,inchi_key,sum,no_reactions,average,mass,experiment,plant,sum_class,inchi_keys
musa acuminata,XPPKVPWEQAFLFU,10109.89421303,274,36.89742413514598,174.95,0,musa acuminata,1,"{'XPPKVPWEQAFLFU-UHFFFAOYSA-K', 'XPPKVPWEQAFLFU-UHFFFAOYSA-N'}"
musa acuminata,KDYFGRWQOYBRFD,6909.161891399997,74,93.36705258648648,118.09,1,musa acuminata,1,"{'KDYFGRWQOYBRFD-UHFFFAOYSA-L', 'KDYFGRWQOYBRFD-UHFFFAOYSA-N'}"
musa acuminata,XJLXINKUBYWONI,4231.636033010001,410,10.321063495146342,744.4,0,musa acuminata,1,"{'XJLXINKUBYWONI-NNYOXOHSSA-O', 'XJLXINKUBYWONI-NNYOXOHSSA-K'}"
musa acuminata,XCCTYIAWTASOJW,3411.2807296700003,187,18.242142939411764,401.14,0,musa acuminata,1,"{'XCCTYIAWTASOJW-XVFCMESISA-N', 'XCCTYIAWTASOJW-XVFCMESISA-K'}"
musa acuminata,UDMBCSSLTHHNCD,2832.4429540300002,150,18.882953026866666,347.22,1,musa acuminata,1,"{'UDMBCSSLTHHNCD-KQYNXXCUSA-L', 'UDMBCSSLTHHNCD-KQYNXXCUSA-N'}"
musa acuminata,ZJUKTBDSGOFHSH,2144.0316738,120,17.866930615,384.41,0,musa acuminata,1,{'ZJUKTBDSGOFHSH-WFMPWKQPSA-N'}
musa acuminata,QGWNDRXFNXRZMB,1424.33319334,38,37.48245245631579,440.18,0,musa acuminata,1,"{'QGWNDRXFNXRZMB-UUOKFMHZSA-K', 'QGWNDRXFNXRZMB-UUOKFMHZSA-N'}"
musa acuminata,NBIIXXVUZAFLBC,1260.5852497644612,351,3.5914109679899195,97.995,1,musa acuminata,1,"{'NBIIXXVUZAFLBC-UHFFFAOYSA-L', 'NBIIXXVUZAFLBC-UHFFFAOYSA-N'}"
musa acuminata,LTYOQGRJFJAKNA,1129.1981448,42,26.885670114285713,853.6,0,musa acuminata,1,"{'LTYOQGRJFJAKNA-DVVLENMVSA-I', 'LTYOQGRJFJAKNA-VFLPNFFSSA-N'}"
musa acuminata,IERHLVCPSMICTF,876.6772566999999,43,20.38784317906977,323.2,0,musa acuminata,1,"{'IERHLVCPSMICTF-XVFCMESISA-L', 'IERHLVCPSMICTF-XVFCMESISA-N'}"
musa acuminata,ZWIADYZPOWUWEW,865.3396303999999,20,43.26698152,403.18,0,musa acuminata,1,"{'ZWIADYZPOWUWEW-XVFCMESISA-K', 'ZWIADYZPOWUWEW-XVFCMESISA-N'}"
musa acuminata,XTWYTFMLZFPYCI,809.2468206444612,342,2.3662187738142153,427.2,0,musa acuminata,1,"{'XTWYTFMLZFPYCI-KQYNXXCUSA-K', 'XTWYTFMLZFPYCI-KQYNXXCUSA-N'}"
musa acuminata,QBUVFDKTZJNUPP,802.3645939999999,5,160.4729188,580.0,0,musa acuminata,1,{'QBUVFDKTZJNUPP-BBROENKCSA-L'}
musa acuminata,INPDFIMLLXXDOQ,740.02076,2,370.01038,584.671,0,musa acuminata,1,{'INPDFIMLLXXDOQ-UAWLBFNISA-L'}
musa acuminata,CWYNVVGOOAEACU,719.342889,12,59.94524075,55.84,0,musa acuminata,1,{'CWYNVVGOOAEACU-UHFFFAOYSA-N'}
musa acuminata,RHGKLRLOHDJJDR,711.2203,6,118.53671666666666,175.19,1,musa acuminata,1,{'RHGKLRLOHDJJDR-BYPYZUCNSA-N'}
musa acuminata,IMGVNJNCCGXBHD,638.883834,8,79.86047925,783.0,0,musa acuminata,1,{'IMGVNJNCCGXBHD-UYBVJOGSSA-K'}
musa acuminata,XOHUEYCVLUUEJJ,574.3070470000001,6,95.71784116666666,261,0,musa acuminata,1,"{'XOHUEYCVLUUEJJ-UWTATZPHSA-I', 'XOHUEYCVLUUEJJ-UWTATZPHSA-N'}"
musa acuminata,NGVDGCNFYWLIFO,558.5170935,11,50.77428122727272,247.14,0,musa acuminata,1,"{'NGVDGCNFYWLIFO-UHFFFAOYSA-L', 'NGVDGCNFYWLIFO-UHFFFAOYSA-N'}"
