,inchi_key,sum,no_reactions,average,mass,experiment,plant,sum_class,inchi_keys
olea europaea var. sylvestris,XPPKVPWEQAFLFU,10111.96757193,282,35.858041035212764,174.95,0,olea europaea var. sylvestris,1,"{'XPPKVPWEQAFLFU-UHFFFAOYSA-K', 'XPPKVPWEQAFLFU-UHFFFAOYSA-N'}"
olea europaea var. sylvestris,KDYFGRWQOYBRFD,7473.117836399997,80,93.413972955,118.09,1,olea europaea var. sylvestris,1,"{'KDYFGRWQOYBRFD-UHFFFAOYSA-L', 'KDYFGRWQOYBRFD-UHFFFAOYSA-N'}"
olea europaea var. sylvestris,XJLXINKUBYWONI,5311.974114869995,422,12.587616385947868,744.4,0,olea europaea var. sylvestris,1,"{'XJLXINKUBYWONI-NNYOXOHSSA-O', 'XJLXINKUBYWONI-NNYOXOHSSA-K'}"
olea europaea var. sylvestris,XCCTYIAWTASOJW,4264.807107769999,218,19.56333535674312,401.14,0,olea europaea var. sylvestris,1,"{'XCCTYIAWTASOJW-XVFCMESISA-N', 'XCCTYIAWTASOJW-XVFCMESISA-K'}"
olea europaea var. sylvestris,ZJUKTBDSGOFHSH,2562.0823027000006,115,22.27897654521739,384.41,0,olea europaea var. sylvestris,1,{'ZJUKTBDSGOFHSH-WFMPWKQPSA-N'}
olea europaea var. sylvestris,UDMBCSSLTHHNCD,2482.8635899300007,150,16.552423932866667,347.22,0,olea europaea var. sylvestris,1,"{'UDMBCSSLTHHNCD-KQYNXXCUSA-L', 'UDMBCSSLTHHNCD-KQYNXXCUSA-N'}"
olea europaea var. sylvestris,WHTCPDAXWFLDIH,1212.3152510000002,13,93.25501930769231,427.2,0,olea europaea var. sylvestris,1,"{'WHTCPDAXWFLDIH-KQYNXXCUSA-N', 'WHTCPDAXWFLDIH-KQYNXXCUSA-J'}"
olea europaea var. sylvestris,NBIIXXVUZAFLBC,1156.7029407644611,347,3.3334378696382183,97.995,1,olea europaea var. sylvestris,1,"{'NBIIXXVUZAFLBC-UHFFFAOYSA-L', 'NBIIXXVUZAFLBC-UHFFFAOYSA-N'}"
olea europaea var. sylvestris,QGWNDRXFNXRZMB,941.8333713399999,33,28.540405192121213,440.18,0,olea europaea var. sylvestris,1,"{'QGWNDRXFNXRZMB-UUOKFMHZSA-K', 'QGWNDRXFNXRZMB-UUOKFMHZSA-N'}"
olea europaea var. sylvestris,ZWIADYZPOWUWEW,865.3396303999999,20,43.26698152,403.18,0,olea europaea var. sylvestris,1,"{'ZWIADYZPOWUWEW-XVFCMESISA-K', 'ZWIADYZPOWUWEW-XVFCMESISA-N'}"
olea europaea var. sylvestris,IERHLVCPSMICTF,860.1508327,42,20.479781730952382,323.2,0,olea europaea var. sylvestris,1,"{'IERHLVCPSMICTF-XVFCMESISA-L', 'IERHLVCPSMICTF-XVFCMESISA-N'}"
olea europaea var. sylvestris,XTWYTFMLZFPYCI,728.5041523444613,328,2.2210492449526273,427.2,0,olea europaea var. sylvestris,1,"{'XTWYTFMLZFPYCI-KQYNXXCUSA-K', 'XTWYTFMLZFPYCI-KQYNXXCUSA-N'}"
olea europaea var. sylvestris,RHGKLRLOHDJJDR,711.2203,6,118.53671666666666,175.19,1,olea europaea var. sylvestris,1,{'RHGKLRLOHDJJDR-BYPYZUCNSA-N'}
olea europaea var. sylvestris,IMGVNJNCCGXBHD,638.883834,8,79.86047925,783.0,0,olea europaea var. sylvestris,1,{'IMGVNJNCCGXBHD-UYBVJOGSSA-K'}
olea europaea var. sylvestris,XOHUEYCVLUUEJJ,627.813334,8,78.47666674999999,261,0,olea europaea var. sylvestris,1,"{'XOHUEYCVLUUEJJ-UWTATZPHSA-I', 'XOHUEYCVLUUEJJ-UWTATZPHSA-N'}"
olea europaea var. sylvestris,NGVDGCNFYWLIFO,558.5170935,11,50.77428122727272,247.14,0,olea europaea var. sylvestris,1,"{'NGVDGCNFYWLIFO-UHFFFAOYSA-L', 'NGVDGCNFYWLIFO-UHFFFAOYSA-N'}"
olea europaea var. sylvestris,QBUVFDKTZJNUPP,520.11653,3,173.37217666666666,580.0,0,olea europaea var. sylvestris,1,{'QBUVFDKTZJNUPP-BBROENKCSA-L'}
olea europaea var. sylvestris,AWUCVROLDVIAJX,428.2822994,24,17.845095808333333,172.07,1,olea europaea var. sylvestris,1,"{'AWUCVROLDVIAJX-VKHMYHEASA-N', 'AWUCVROLDVIAJX-GSVOUGTGSA-N', 'AWUCVROLDVIAJX-GSVOUGTGSA-L'}"
olea europaea var. sylvestris,CWYNVVGOOAEACU,406.893089,11,36.99028081818182,55.84,0,olea europaea var. sylvestris,1,{'CWYNVVGOOAEACU-UHFFFAOYSA-N'}
