,plant,df_fraction,best_threshold,roc_auc,pr_auc,f1,average_precision,norm_fraction,total_scored,total_plant
cicer arietinum,cicer arietinum,10,1674.3163986644613,0.5833333333333334,0.7,0.5714285714285715,0.4,0.0,2166,3463
cicer arietinum,cicer arietinum,60,374.5570383,0.671875,0.6,0.33333333333333337,0.2,0.03,2166,3463
cicer arietinum,cicer arietinum,110,348.6750604,0.6213768115942029,0.5818181818181818,0.28125,0.16363636363636364,0.05,2166,3463
cicer arietinum,cicer arietinum,160,212.476667,0.7312430011198208,0.559375,0.2122905027932961,0.11875,0.07,2166,3463
cicer arietinum,cicer arietinum,210,212.476667,0.7678947368421052,0.5476190476190477,0.17391304347826084,0.09523809523809523,0.1,2166,3463
cicer arietinum,cicer arietinum,260,145.10924500000002,0.7491405653170359,0.5423076923076923,0.15602836879432627,0.08461538461538462,0.12,2166,3463
cicer arietinum,cicer arietinum,310,145.10924500000002,0.7620815028026057,0.5370967741935484,0.13813813813813813,0.07419354838709677,0.14,2166,3463
cicer arietinum,cicer arietinum,360,145.10924500000002,0.7111354214647627,0.5361111111111111,0.13471502590673573,0.07222222222222222,0.17,2166,3463
cicer arietinum,cicer arietinum,410,145.10924500000002,0.6780251606480224,0.5353658536585366,0.13211845102505693,0.07073170731707316,0.19,2166,3463
cicer arietinum,cicer arietinum,460,145.10924500000002,0.6368604073522106,0.5358695652173913,0.1338742393509128,0.07173913043478261,0.21,2166,3463
cicer arietinum,cicer arietinum,510,145.10924500000002,0.6036226501342781,0.5362745098039216,0.13528336380255943,0.07254901960784314,0.24,2166,3463
cicer arietinum,cicer arietinum,560,145.10924500000002,0.6105123283626163,0.5348214285714286,0.1302170283806344,0.06964285714285715,0.26,2166,3463
cicer arietinum,cicer arietinum,610,145.10924500000002,0.5875476805709363,0.5352459016393443,0.13169984686064318,0.07049180327868852,0.28,2166,3463
cicer arietinum,cicer arietinum,660,145.10924500000002,0.5815748477552755,0.5348484848484849,0.13031161473087818,0.0696969696969697,0.3,2166,3463
cicer arietinum,cicer arietinum,710,145.10924500000002,0.5530661429974114,0.5359154929577464,0.13403416557161632,0.07183098591549296,0.33,2166,3463
cicer arietinum,cicer arietinum,760,145.10924500000002,0.5434945196647324,0.5361842105263158,0.13496932515337423,0.07236842105263158,0.35,2166,3463
cicer arietinum,cicer arietinum,810,145.10924500000002,0.5536217702290254,0.5351851851851852,0.13148788927335642,0.07037037037037037,0.37,2166,3463
cicer arietinum,cicer arietinum,860,145.10924500000002,0.5709003353684754,0.5337209302325582,0.12636165577342048,0.06744186046511629,0.4,2166,3463
cicer arietinum,cicer arietinum,910,30.5790063,0.5857117249895437,0.5324175824175824,0.12177502579979362,0.06483516483516484,0.42,2166,3463
cicer arietinum,cicer arietinum,960,30.5790063,0.5791723543357999,0.5322916666666667,0.1213307240704501,0.06458333333333334,0.44,2166,3463
cicer arietinum,cicer arietinum,1010,30.5790063,0.6013679052674561,0.5306930693069307,0.11567164179104476,0.061386138613861385,0.47,2166,3463
cicer arietinum,cicer arietinum,1060,30.5790063,0.6020645080321285,0.530360531309298,0.11449016100178891,0.06072106261859583,0.49,2166,3463
cicer arietinum,cicer arietinum,1110,14.977753,0.6023452920004644,0.5161099170586837,0.11428571428571428,0.060682832219834115,0.51,2166,3463
cicer arietinum,cicer arietinum,1160,14.977753,0.6114077371604921,0.5092655750560813,0.11418376449598573,0.06058841596506117,0.54,2166,3463
