,inchi_key,sum,no_reactions,average,mass,experiment,plant,sum_class,inchi_keys
prunus persica,XPPKVPWEQAFLFU,9861.95712643,272,36.25719531775735,174.95,0,prunus persica,1,"{'XPPKVPWEQAFLFU-UHFFFAOYSA-K', 'XPPKVPWEQAFLFU-UHFFFAOYSA-N'}"
prunus persica,KDYFGRWQOYBRFD,8847.160496399998,91,97.22154391648351,118.09,1,prunus persica,1,"{'KDYFGRWQOYBRFD-UHFFFAOYSA-L', 'KDYFGRWQOYBRFD-UHFFFAOYSA-N'}"
prunus persica,XCCTYIAWTASOJW,4085.2197369700016,196,20.842957841683674,401.14,0,prunus persica,1,"{'XCCTYIAWTASOJW-XVFCMESISA-N', 'XCCTYIAWTASOJW-XVFCMESISA-K'}"
prunus persica,XJLXINKUBYWONI,3607.208550250002,405,8.906687778395062,744.4,0,prunus persica,1,"{'XJLXINKUBYWONI-NNYOXOHSSA-O', 'XJLXINKUBYWONI-NNYOXOHSSA-K'}"
prunus persica,ZJUKTBDSGOFHSH,2701.272561400001,131,20.62040123206107,384.41,0,prunus persica,1,{'ZJUKTBDSGOFHSH-WFMPWKQPSA-N'}
prunus persica,UDMBCSSLTHHNCD,2596.5227118300004,151,17.195514647880795,347.22,1,prunus persica,1,"{'UDMBCSSLTHHNCD-KQYNXXCUSA-L', 'UDMBCSSLTHHNCD-KQYNXXCUSA-N'}"
prunus persica,NBIIXXVUZAFLBC,1281.4112613644604,342,3.7468165536972564,97.995,1,prunus persica,1,"{'NBIIXXVUZAFLBC-UHFFFAOYSA-L', 'NBIIXXVUZAFLBC-UHFFFAOYSA-N'}"
prunus persica,QGWNDRXFNXRZMB,1038.79446444,30,34.626482148,440.18,0,prunus persica,1,"{'QGWNDRXFNXRZMB-UUOKFMHZSA-K', 'QGWNDRXFNXRZMB-UUOKFMHZSA-N'}"
prunus persica,XTWYTFMLZFPYCI,962.4079808444615,336,2.8643094667989932,427.2,0,prunus persica,1,"{'XTWYTFMLZFPYCI-KQYNXXCUSA-K', 'XTWYTFMLZFPYCI-KQYNXXCUSA-N'}"
prunus persica,ZWIADYZPOWUWEW,865.3396303999999,20,43.26698152,403.18,0,prunus persica,1,"{'ZWIADYZPOWUWEW-XVFCMESISA-K', 'ZWIADYZPOWUWEW-XVFCMESISA-N'}"
prunus persica,QBUVFDKTZJNUPP,802.3645939999999,5,160.4729188,580.0,0,prunus persica,1,{'QBUVFDKTZJNUPP-BBROENKCSA-L'}
prunus persica,LTYOQGRJFJAKNA,784.1283401000002,35,22.40366686,853.6,0,prunus persica,1,"{'LTYOQGRJFJAKNA-DVVLENMVSA-I', 'LTYOQGRJFJAKNA-VFLPNFFSSA-N'}"
prunus persica,INPDFIMLLXXDOQ,740.02076,2,370.01038,584.671,0,prunus persica,1,{'INPDFIMLLXXDOQ-UAWLBFNISA-L'}
prunus persica,CWYNVVGOOAEACU,719.342889,12,59.94524075,55.84,0,prunus persica,1,{'CWYNVVGOOAEACU-UHFFFAOYSA-N'}
prunus persica,RHGKLRLOHDJJDR,711.2203,6,118.53671666666666,175.19,1,prunus persica,1,{'RHGKLRLOHDJJDR-BYPYZUCNSA-N'}
prunus persica,IERHLVCPSMICTF,703.9587527,41,17.169725675609754,323.2,0,prunus persica,1,"{'IERHLVCPSMICTF-XVFCMESISA-L', 'IERHLVCPSMICTF-XVFCMESISA-N'}"
prunus persica,IMGVNJNCCGXBHD,638.883834,8,79.86047925,783.0,0,prunus persica,1,{'IMGVNJNCCGXBHD-UYBVJOGSSA-K'}
prunus persica,XOHUEYCVLUUEJJ,574.3070470000001,6,95.71784116666666,261,0,prunus persica,1,"{'XOHUEYCVLUUEJJ-UWTATZPHSA-I', 'XOHUEYCVLUUEJJ-UWTATZPHSA-N'}"
prunus persica,NGVDGCNFYWLIFO,558.5170935,11,50.77428122727272,247.14,0,prunus persica,1,"{'NGVDGCNFYWLIFO-UHFFFAOYSA-L', 'NGVDGCNFYWLIFO-UHFFFAOYSA-N'}"
prunus persica,IGSYEZFZPOZFNC,531.6855800000001,3,177.22852666666668,368.25,0,prunus persica,1,"{'IGSYEZFZPOZFNC-LKIWRGPLSA-N', 'IGSYEZFZPOZFNC-MMGXBETBSA-L'}"
prunus persica,AWUCVROLDVIAJX,443.5345274,23,19.28410988695652,172.07,1,prunus persica,1,"{'AWUCVROLDVIAJX-VKHMYHEASA-N', 'AWUCVROLDVIAJX-GSVOUGTGSA-N', 'AWUCVROLDVIAJX-GSVOUGTGSA-L'}"
prunus persica,ZGCSNRKSJLVANE,421.74683,1,421.74683,394.2,0,prunus persica,1,{'ZGCSNRKSJLVANE-UHFFFAOYSA-N'}
prunus persica,KPTPLMBJPAAERN,404.836088,3,134.94536266666668,608.9,0,prunus persica,1,{'KPTPLMBJPAAERN-UHFFFAOYSA-J'}
prunus persica,BAWFJGJZGIEFAR,403.1696785150002,259,1.5566396853861004,662.4,0,prunus persica,1,"{'BAWFJGJZGIEFAR-NNYOXOHSSA-O', 'BAWFJGJZGIEFAR-NNYOXOHSSA-M'}"
prunus persica,QGJZLNKBHJESQX,391.364375,2,195.6821875,455.7,0,prunus persica,1,{'QGJZLNKBHJESQX-FZFNOLFKSA-M'}
prunus persica,MIJYXULNPSFWEK,391.364345,2,195.6821725,455.7,1,prunus persica,1,{'MIJYXULNPSFWEK-GTOFXWBISA-M'}
prunus persica,MPDGHEJMBKOTSU,391.364285,2,195.6821425,469.7,0,prunus persica,1,{'MPDGHEJMBKOTSU-VOPRYAMFSA-M'}
prunus persica,ORAJWSYKRGVTDP,376.128046,4,94.0320115,179.19,0,prunus persica,1,{'ORAJWSYKRGVTDP-UHFFFAOYSA-N'}
prunus persica,YPZRWBKMTBYPTK,368.1328973,19,19.37541564736842,612.6,0,prunus persica,1,"{'YPZRWBKMTBYPTK-BJDJZHNGSA-N', 'YPZRWBKMTBYPTK-BJDJZHNGSA-L'}"
prunus persica,UQFZKTIHSICSPG,365.34738,2,182.67369,443.7,0,prunus persica,1,{'UQFZKTIHSICSPG-DSHYQQBWSA-M'}
prunus persica,REFJWTPEDVJJIY,361.6862297,10,36.16862297,302.23,0,prunus persica,1,"{'REFJWTPEDVJJIY-UHFFFAOYSA-N', 'REFJWTPEDVJJIY-UHFFFAOYSA-M'}"
prunus persica,WCGUUGGRBIKTOS,355.45605,2,177.728025,456.7,0,prunus persica,1,{'WCGUUGGRBIKTOS-GPOJBZKASA-N'}
prunus persica,HLAWVOWADPNAGN,352.39778700000005,3,117.465929,410.7,0,prunus persica,1,{'HLAWVOWADPNAGN-BAHZUFOISA-N'}
prunus persica,DJJCXFVJDGTHFX,314.82494570392,28,11.243748060854285,324.18,1,prunus persica,1,"{'DJJCXFVJDGTHFX-XVFCMESISA-L', 'DJJCXFVJDGTHFX-XVFCMESISA-N'}"
prunus persica,IVLBHBFTRNVIAP,311.884298,9,34.653810888888884,791.0,0,prunus persica,1,"{'IVLBHBFTRNVIAP-MEGGAXOGSA-N', 'IVLBHBFTRNVIAP-MEGGAXOGSA-K'}"
