,inchi_key,sum,no_reactions,average,mass,experiment,plant,sum_class,inchi_keys
solanum lycopersicum,XPPKVPWEQAFLFU,11119.824474029998,311,35.75506261745981,174.95,0,solanum lycopersicum,1,"{'XPPKVPWEQAFLFU-UHFFFAOYSA-K', 'XPPKVPWEQAFLFU-UHFFFAOYSA-N'}"
solanum lycopersicum,KDYFGRWQOYBRFD,7438.849123999997,80,92.98561405,118.09,1,solanum lycopersicum,1,"{'KDYFGRWQOYBRFD-UHFFFAOYSA-L', 'KDYFGRWQOYBRFD-UHFFFAOYSA-N'}"
solanum lycopersicum,XJLXINKUBYWONI,4870.978989379998,427,11.40744494,744.4,0,solanum lycopersicum,1,"{'XJLXINKUBYWONI-NNYOXOHSSA-O', 'XJLXINKUBYWONI-NNYOXOHSSA-K'}"
solanum lycopersicum,XCCTYIAWTASOJW,3791.1718744699992,229,16.555335696375547,401.14,0,solanum lycopersicum,1,"{'XCCTYIAWTASOJW-XVFCMESISA-N', 'XCCTYIAWTASOJW-XVFCMESISA-K'}"
solanum lycopersicum,UDMBCSSLTHHNCD,3080.9724438300004,156,19.749823357884615,347.22,1,solanum lycopersicum,1,"{'UDMBCSSLTHHNCD-KQYNXXCUSA-L', 'UDMBCSSLTHHNCD-KQYNXXCUSA-N'}"
solanum lycopersicum,ZJUKTBDSGOFHSH,2691.9415988000014,143,18.824766425174825,384.41,1,solanum lycopersicum,1,{'ZJUKTBDSGOFHSH-WFMPWKQPSA-N'}
solanum lycopersicum,NBIIXXVUZAFLBC,1355.2713774244614,348,3.8944579811047753,97.995,1,solanum lycopersicum,1,"{'NBIIXXVUZAFLBC-UHFFFAOYSA-L', 'NBIIXXVUZAFLBC-UHFFFAOYSA-N'}"
solanum lycopersicum,WHTCPDAXWFLDIH,1288.8466005,31,41.57569679032258,427.2,0,solanum lycopersicum,1,"{'WHTCPDAXWFLDIH-KQYNXXCUSA-N', 'WHTCPDAXWFLDIH-KQYNXXCUSA-J'}"
solanum lycopersicum,QGWNDRXFNXRZMB,1128.8729266399998,33,34.20827050424242,440.18,0,solanum lycopersicum,1,"{'QGWNDRXFNXRZMB-UUOKFMHZSA-K', 'QGWNDRXFNXRZMB-UUOKFMHZSA-N'}"
solanum lycopersicum,IMGVNJNCCGXBHD,986.7294160000001,14,70.48067257142857,783.0,0,solanum lycopersicum,1,{'IMGVNJNCCGXBHD-UYBVJOGSSA-K'}
solanum lycopersicum,ZWIADYZPOWUWEW,865.3396303999999,20,43.26698152,403.18,0,solanum lycopersicum,1,"{'ZWIADYZPOWUWEW-XVFCMESISA-K', 'ZWIADYZPOWUWEW-XVFCMESISA-N'}"
solanum lycopersicum,XTWYTFMLZFPYCI,818.3978490344614,348,2.3517179569955795,427.2,1,solanum lycopersicum,1,"{'XTWYTFMLZFPYCI-KQYNXXCUSA-K', 'XTWYTFMLZFPYCI-KQYNXXCUSA-N'}"
solanum lycopersicum,QBUVFDKTZJNUPP,802.3645939999999,5,160.4729188,580.0,0,solanum lycopersicum,1,{'QBUVFDKTZJNUPP-BBROENKCSA-L'}
solanum lycopersicum,RHGKLRLOHDJJDR,726.2302976000001,8,90.7787872,175.19,1,solanum lycopersicum,1,{'RHGKLRLOHDJJDR-BYPYZUCNSA-N'}
solanum lycopersicum,CWYNVVGOOAEACU,719.342889,12,59.94524075,55.84,0,solanum lycopersicum,1,{'CWYNVVGOOAEACU-UHFFFAOYSA-N'}
solanum lycopersicum,IERHLVCPSMICTF,703.9587527,41,17.169725675609754,323.2,1,solanum lycopersicum,1,"{'IERHLVCPSMICTF-XVFCMESISA-L', 'IERHLVCPSMICTF-XVFCMESISA-N'}"
solanum lycopersicum,XOHUEYCVLUUEJJ,589.098734,7,84.156962,261,0,solanum lycopersicum,1,"{'XOHUEYCVLUUEJJ-UWTATZPHSA-I', 'XOHUEYCVLUUEJJ-UWTATZPHSA-N'}"
solanum lycopersicum,NGVDGCNFYWLIFO,558.5170935,11,50.77428122727272,247.14,0,solanum lycopersicum,1,"{'NGVDGCNFYWLIFO-UHFFFAOYSA-L', 'NGVDGCNFYWLIFO-UHFFFAOYSA-N'}"
solanum lycopersicum,IGSYEZFZPOZFNC,531.6855800000001,3,177.22852666666668,368.25,0,solanum lycopersicum,1,"{'IGSYEZFZPOZFNC-LKIWRGPLSA-N', 'IGSYEZFZPOZFNC-MMGXBETBSA-L'}"
solanum lycopersicum,WHUUTDBJXJRKMK,519.347891023,128,4.057405398617187,146.12,1,solanum lycopersicum,1,"{'WHUUTDBJXJRKMK-UHFFFAOYSA-N', 'WHUUTDBJXJRKMK-GSVOUGTGSA-M', 'WHUUTDBJXJRKMK-VKHMYHEASA-N', 'WHUUTDBJXJRKMK-VKHMYHEASA-M'}"
solanum lycopersicum,AWUCVROLDVIAJX,443.5345274,23,19.28410988695652,172.07,1,solanum lycopersicum,1,"{'AWUCVROLDVIAJX-VKHMYHEASA-N', 'AWUCVROLDVIAJX-GSVOUGTGSA-N', 'AWUCVROLDVIAJX-GSVOUGTGSA-L'}"
solanum lycopersicum,KPTPLMBJPAAERN,404.836088,3,134.94536266666668,608.9,0,solanum lycopersicum,1,{'KPTPLMBJPAAERN-UHFFFAOYSA-J'}
solanum lycopersicum,PLQMEXSCSAIXGB,396.59426,2,198.29713,233.33,0,solanum lycopersicum,1,{'PLQMEXSCSAIXGB-SAXRGWBVSA-M'}
solanum lycopersicum,QGJZLNKBHJESQX,391.364375,2,195.6821875,455.7,0,solanum lycopersicum,1,{'QGJZLNKBHJESQX-FZFNOLFKSA-M'}
solanum lycopersicum,MIJYXULNPSFWEK,391.364345,2,195.6821725,455.7,1,solanum lycopersicum,1,{'MIJYXULNPSFWEK-GTOFXWBISA-M'}
solanum lycopersicum,MPDGHEJMBKOTSU,391.364285,2,195.6821425,469.7,0,solanum lycopersicum,1,{'MPDGHEJMBKOTSU-VOPRYAMFSA-M'}
solanum lycopersicum,ORAJWSYKRGVTDP,376.128046,4,94.0320115,179.19,0,solanum lycopersicum,1,{'ORAJWSYKRGVTDP-UHFFFAOYSA-N'}
solanum lycopersicum,LTYOQGRJFJAKNA,369.3990901999999,37,9.983759194594594,853.6,0,solanum lycopersicum,1,"{'LTYOQGRJFJAKNA-DVVLENMVSA-I', 'LTYOQGRJFJAKNA-VFLPNFFSSA-N'}"
solanum lycopersicum,YPZRWBKMTBYPTK,368.1328973,19,19.37541564736842,612.6,1,solanum lycopersicum,1,"{'YPZRWBKMTBYPTK-BJDJZHNGSA-N', 'YPZRWBKMTBYPTK-BJDJZHNGSA-L'}"
solanum lycopersicum,UQFZKTIHSICSPG,365.34738,2,182.67369,443.7,0,solanum lycopersicum,1,{'UQFZKTIHSICSPG-DSHYQQBWSA-M'}
solanum lycopersicum,REFJWTPEDVJJIY,361.31785959999996,13,27.793681507692305,302.23,0,solanum lycopersicum,1,"{'REFJWTPEDVJJIY-UHFFFAOYSA-N', 'REFJWTPEDVJJIY-UHFFFAOYSA-M'}"
solanum lycopersicum,PKYFHKIYHBRTPI,359.64243936,6,59.94040656,217.12,0,solanum lycopersicum,1,"{'PKYFHKIYHBRTPI-UHFFFAOYSA-L', 'PKYFHKIYHBRTPI-UHFFFAOYSA-N'}"
solanum lycopersicum,WCGUUGGRBIKTOS,355.45605,2,177.728025,456.7,0,solanum lycopersicum,1,{'WCGUUGGRBIKTOS-GPOJBZKASA-N'}
solanum lycopersicum,HLAWVOWADPNAGN,352.39778700000005,3,117.465929,410.7,0,solanum lycopersicum,1,{'HLAWVOWADPNAGN-BAHZUFOISA-N'}
solanum lycopersicum,BXXSHQYDJWZXPB,345.25909,3,115.08636333333332,236.35,0,solanum lycopersicum,1,{'BXXSHQYDJWZXPB-OKNSCYNVSA-N'}
solanum lycopersicum,WUUGFSXJNOTRMR,336.2384998,10,33.62384998,297.34,1,solanum lycopersicum,1,{'WUUGFSXJNOTRMR-IOSLPCCCSA-N'}
solanum lycopersicum,AFVFQIVMOAPDHO,320.32399599999997,6,53.387332666666666,95.1,0,solanum lycopersicum,1,{'AFVFQIVMOAPDHO-UHFFFAOYSA-M'}
solanum lycopersicum,DJJCXFVJDGTHFX,314.82494570392,28,11.243748060854285,324.18,1,solanum lycopersicum,1,"{'DJJCXFVJDGTHFX-XVFCMESISA-L', 'DJJCXFVJDGTHFX-XVFCMESISA-N'}"
solanum lycopersicum,IVLBHBFTRNVIAP,311.884298,9,34.653810888888884,791.0,0,solanum lycopersicum,1,"{'IVLBHBFTRNVIAP-MEGGAXOGSA-N', 'IVLBHBFTRNVIAP-MEGGAXOGSA-K'}"
solanum lycopersicum,RSWGJHLUYNHPMX,309.57953,2,154.789765,301.4,0,solanum lycopersicum,1,{'RSWGJHLUYNHPMX-ONCXSQPRSA-M'}
solanum lycopersicum,XGYIMTFOTBMPFP,301.0257133,7,43.00367332857142,251.24,0,solanum lycopersicum,1,{'XGYIMTFOTBMPFP-KQYNXXCUSA-N'}
solanum lycopersicum,YECLLIMZHNYFCK,299.7107867,6,49.95179778333334,1025.9,0,solanum lycopersicum,1,"{'YECLLIMZHNYFCK-JHGVXFQISA-N', 'YECLLIMZHNYFCK-RRNJGNTNSA-J'}"
solanum lycopersicum,FGCUSSRGQNHZRW,283.53834,2,141.76917,218.33,0,solanum lycopersicum,1,{'FGCUSSRGQNHZRW-UMVBOHGHSA-N'}
solanum lycopersicum,LLVVMXFNKAHVEZ,282.1,1,282.1,352.25,0,solanum lycopersicum,1,{'LLVVMXFNKAHVEZ-KMBKDFKYSA-N'}
solanum lycopersicum,ZKNHGZHOGBDPIA,278.721752,3,92.90725066666667,631.7,0,solanum lycopersicum,1,{'ZKNHGZHOGBDPIA-ZOWBABNGSA-N'}
solanum lycopersicum,OSJPPGNTCRNQQC,276.8342496,18,15.379680533333334,186.06,1,solanum lycopersicum,1,"{'OSJPPGNTCRNQQC-UWTATZPHSA-N', 'OSJPPGNTCRNQQC-UWTATZPHSA-K'}"
solanum lycopersicum,QJVMEAZHJKXWJD,269.068926,2,134.534463,396.6,0,solanum lycopersicum,1,{'QJVMEAZHJKXWJD-HESBYNJASA-N'}
solanum lycopersicum,ZFPNNOXCEDQJQS,263.40965570000003,3,87.80321856666667,790.7,0,solanum lycopersicum,1,"{'ZFPNNOXCEDQJQS-SSVOXRMNSA-M', 'ZFPNNOXCEDQJQS-RXAGCIOPSA-N'}"
solanum lycopersicum,CAOMCZAIALVUPA,262.77414,2,131.38707,120.17,0,solanum lycopersicum,1,"{'CAOMCZAIALVUPA-UHFFFAOYSA-N', 'CAOMCZAIALVUPA-UHFFFAOYSA-M'}"
solanum lycopersicum,DFPAKSUCGFBDDF,257.6249158,5,51.52498316,122.12,1,solanum lycopersicum,1,{'DFPAKSUCGFBDDF-UHFFFAOYSA-N'}
solanum lycopersicum,SFRQRNJMIIUYDI,254.90050000000002,4,63.725125000000006,276.07,0,solanum lycopersicum,1,"{'SFRQRNJMIIUYDI-UHNVWZDZSA-N', 'SFRQRNJMIIUYDI-UHNVWZDZSA-L'}"
solanum lycopersicum,NXJJBCPAGHGVJC,252.978639,3,84.326213,408.7,0,solanum lycopersicum,1,{'NXJJBCPAGHGVJC-LIKFLUFESA-N'}
solanum lycopersicum,LHFJOBMTAJJOTB,251.64483919999998,6,41.94080653333334,175.12,0,solanum lycopersicum,1,{'LHFJOBMTAJJOTB-JLAZNSOCSA-N'}
solanum lycopersicum,IKMDFBPHZNJCSN,251.0911056,4,62.7727764,317.23,0,solanum lycopersicum,1,"{'IKMDFBPHZNJCSN-UHFFFAOYSA-N', 'IKMDFBPHZNJCSN-UHFFFAOYSA-M'}"
solanum lycopersicum,YVLXSHWZFBDIEL,250.744304,2,125.372152,721.7,0,solanum lycopersicum,1,{'YVLXSHWZFBDIEL-SRDSWEMOSA-N'}
solanum lycopersicum,ASCFNMCAHFUBCO,243.6434665,4,60.910866625,153.01,0,solanum lycopersicum,1,"{'ASCFNMCAHFUBCO-UHFFFAOYSA-K', 'ASCFNMCAHFUBCO-UHFFFAOYSA-N'}"
solanum lycopersicum,NCMVOABPESMRCP,242.70908065999998,10,24.270908066,305.18,0,solanum lycopersicum,1,"{'NCMVOABPESMRCP-SHYZEUOFSA-N', 'NCMVOABPESMRCP-SHYZEUOFSA-L'}"
solanum lycopersicum,CSCPPACGZOOCGX,227.1373833,3,75.7124611,58.08,0,solanum lycopersicum,1,{'CSCPPACGZOOCGX-UHFFFAOYSA-N'}
solanum lycopersicum,AEMOLEFTQBMNLQ,221.03,6,36.83833333333334,194.14,1,solanum lycopersicum,1,"{'AEMOLEFTQBMNLQ-AQKNRBDQSA-N', 'AEMOLEFTQBMNLQ-YMDCURPLSA-N'}"
