,inchi_key,sum,no_reactions,average,mass,experiment,plant,sum_class,inchi_keys
solanum tuberosum,XPPKVPWEQAFLFU,10644.299558829996,306,34.78529267591503,174.95,0,solanum tuberosum,1,"{'XPPKVPWEQAFLFU-UHFFFAOYSA-K', 'XPPKVPWEQAFLFU-UHFFFAOYSA-N'}"
solanum tuberosum,KDYFGRWQOYBRFD,7641.380388399997,81,94.33802948641976,118.09,1,solanum tuberosum,1,"{'KDYFGRWQOYBRFD-UHFFFAOYSA-L', 'KDYFGRWQOYBRFD-UHFFFAOYSA-N'}"
solanum tuberosum,XJLXINKUBYWONI,5398.675663219995,446,12.104653953408071,744.4,0,solanum tuberosum,1,"{'XJLXINKUBYWONI-NNYOXOHSSA-O', 'XJLXINKUBYWONI-NNYOXOHSSA-K'}"
solanum tuberosum,XCCTYIAWTASOJW,3774.709680170001,233,16.200470730343348,401.14,0,solanum tuberosum,1,"{'XCCTYIAWTASOJW-XVFCMESISA-N', 'XCCTYIAWTASOJW-XVFCMESISA-K'}"
solanum tuberosum,ZJUKTBDSGOFHSH,2649.2281361,136,19.47961864779412,384.41,0,solanum tuberosum,1,{'ZJUKTBDSGOFHSH-WFMPWKQPSA-N'}
solanum tuberosum,UDMBCSSLTHHNCD,2624.97665383,156,16.82677342198718,347.22,1,solanum tuberosum,1,"{'UDMBCSSLTHHNCD-KQYNXXCUSA-L', 'UDMBCSSLTHHNCD-KQYNXXCUSA-N'}"
solanum tuberosum,NBIIXXVUZAFLBC,1229.1784949644614,334,3.680175134624137,97.995,1,solanum tuberosum,1,"{'NBIIXXVUZAFLBC-UHFFFAOYSA-L', 'NBIIXXVUZAFLBC-UHFFFAOYSA-N'}"
solanum tuberosum,QGWNDRXFNXRZMB,1143.7058126399997,35,32.67730893257143,440.18,0,solanum tuberosum,1,"{'QGWNDRXFNXRZMB-UUOKFMHZSA-K', 'QGWNDRXFNXRZMB-UUOKFMHZSA-N'}"
solanum tuberosum,ZWIADYZPOWUWEW,865.3396303999999,20,43.26698152,403.18,0,solanum tuberosum,1,"{'ZWIADYZPOWUWEW-XVFCMESISA-K', 'ZWIADYZPOWUWEW-XVFCMESISA-N'}"
solanum tuberosum,LTYOQGRJFJAKNA,841.2700594,36,23.368612761111113,853.6,0,solanum tuberosum,1,"{'LTYOQGRJFJAKNA-DVVLENMVSA-I', 'LTYOQGRJFJAKNA-VFLPNFFSSA-N'}"
