,inchi_key,sum,no_reactions,average,mass,experiment,plant,sum_class,inchi_keys
spinacia oleracea,XPPKVPWEQAFLFU,11334.97505363,282,40.194946998687946,174.95,0,spinacia oleracea,1,"{'XPPKVPWEQAFLFU-UHFFFAOYSA-K', 'XPPKVPWEQAFLFU-UHFFFAOYSA-N'}"
spinacia oleracea,KDYFGRWQOYBRFD,8361.124585399997,87,96.10488029195402,118.09,1,spinacia oleracea,1,"{'KDYFGRWQOYBRFD-UHFFFAOYSA-L', 'KDYFGRWQOYBRFD-UHFFFAOYSA-N'}"
spinacia oleracea,XCCTYIAWTASOJW,4239.643092269999,196,21.630832103418367,401.14,0,spinacia oleracea,1,"{'XCCTYIAWTASOJW-XVFCMESISA-N', 'XCCTYIAWTASOJW-XVFCMESISA-K'}"
spinacia oleracea,XJLXINKUBYWONI,4028.4574253500014,406,9.922308929433498,744.4,0,spinacia oleracea,1,"{'XJLXINKUBYWONI-NNYOXOHSSA-O', 'XJLXINKUBYWONI-NNYOXOHSSA-K'}"
spinacia oleracea,UDMBCSSLTHHNCD,2673.84130803,146,18.313981561849314,347.22,1,spinacia oleracea,1,"{'UDMBCSSLTHHNCD-KQYNXXCUSA-L', 'UDMBCSSLTHHNCD-KQYNXXCUSA-N'}"
spinacia oleracea,ZJUKTBDSGOFHSH,2230.285820000001,116,19.226601896551724,384.41,1,spinacia oleracea,1,{'ZJUKTBDSGOFHSH-WFMPWKQPSA-N'}
spinacia oleracea,NBIIXXVUZAFLBC,1160.895169164461,330,3.517864148983217,97.995,1,spinacia oleracea,1,"{'NBIIXXVUZAFLBC-UHFFFAOYSA-L', 'NBIIXXVUZAFLBC-UHFFFAOYSA-N'}"
spinacia oleracea,QGWNDRXFNXRZMB,1139.23555894,29,39.283984791034484,440.18,0,spinacia oleracea,1,"{'QGWNDRXFNXRZMB-UUOKFMHZSA-K', 'QGWNDRXFNXRZMB-UUOKFMHZSA-N'}"
spinacia oleracea,XTWYTFMLZFPYCI,928.700996644462,322,2.8841645858523655,427.2,0,spinacia oleracea,1,"{'XTWYTFMLZFPYCI-KQYNXXCUSA-K', 'XTWYTFMLZFPYCI-KQYNXXCUSA-N'}"
spinacia oleracea,ZWIADYZPOWUWEW,865.3396303999999,20,43.26698152,403.18,0,spinacia oleracea,1,"{'ZWIADYZPOWUWEW-XVFCMESISA-K', 'ZWIADYZPOWUWEW-XVFCMESISA-N'}"
spinacia oleracea,QBUVFDKTZJNUPP,802.3645939999999,5,160.4729188,580.0,0,spinacia oleracea,1,{'QBUVFDKTZJNUPP-BBROENKCSA-L'}
spinacia oleracea,INPDFIMLLXXDOQ,740.02076,2,370.01038,584.671,0,spinacia oleracea,1,{'INPDFIMLLXXDOQ-UAWLBFNISA-L'}
spinacia oleracea,RHGKLRLOHDJJDR,711.2203,6,118.53671666666666,175.19,1,spinacia oleracea,1,{'RHGKLRLOHDJJDR-BYPYZUCNSA-N'}
spinacia oleracea,IERHLVCPSMICTF,703.3346127,41,17.154502748780487,323.2,1,spinacia oleracea,1,"{'IERHLVCPSMICTF-XVFCMESISA-L', 'IERHLVCPSMICTF-XVFCMESISA-N'}"
spinacia oleracea,CWYNVVGOOAEACU,669.287103,13,51.483623307692305,55.84,0,spinacia oleracea,1,{'CWYNVVGOOAEACU-UHFFFAOYSA-N'}
spinacia oleracea,IMGVNJNCCGXBHD,638.883834,8,79.86047925,783.0,0,spinacia oleracea,1,{'IMGVNJNCCGXBHD-UYBVJOGSSA-K'}
spinacia oleracea,XOHUEYCVLUUEJJ,589.098734,7,84.156962,261,0,spinacia oleracea,1,"{'XOHUEYCVLUUEJJ-UWTATZPHSA-I', 'XOHUEYCVLUUEJJ-UWTATZPHSA-N'}"
spinacia oleracea,NGVDGCNFYWLIFO,558.5170935,11,50.77428122727272,247.14,0,spinacia oleracea,1,"{'NGVDGCNFYWLIFO-UHFFFAOYSA-L', 'NGVDGCNFYWLIFO-UHFFFAOYSA-N'}"
spinacia oleracea,IGSYEZFZPOZFNC,531.6855800000001,3,177.22852666666668,368.25,0,spinacia oleracea,1,"{'IGSYEZFZPOZFNC-LKIWRGPLSA-N', 'IGSYEZFZPOZFNC-MMGXBETBSA-L'}"
spinacia oleracea,DJJCXFVJDGTHFX,428.3738958445299,28,15.299067708733213,324.18,1,spinacia oleracea,1,"{'DJJCXFVJDGTHFX-XVFCMESISA-L', 'DJJCXFVJDGTHFX-XVFCMESISA-N'}"
spinacia oleracea,AWUCVROLDVIAJX,428.2822994,24,17.845095808333333,172.07,1,spinacia oleracea,1,"{'AWUCVROLDVIAJX-VKHMYHEASA-N', 'AWUCVROLDVIAJX-GSVOUGTGSA-N', 'AWUCVROLDVIAJX-GSVOUGTGSA-L'}"
spinacia oleracea,LTYOQGRJFJAKNA,419.9056160999999,27,15.552059855555555,853.6,0,spinacia oleracea,1,"{'LTYOQGRJFJAKNA-DVVLENMVSA-I', 'LTYOQGRJFJAKNA-VFLPNFFSSA-N'}"
spinacia oleracea,KPTPLMBJPAAERN,404.836088,3,134.94536266666668,608.9,0,spinacia oleracea,1,{'KPTPLMBJPAAERN-UHFFFAOYSA-J'}
spinacia oleracea,YPZRWBKMTBYPTK,396.8771603,20,19.843858015,612.6,1,spinacia oleracea,1,"{'YPZRWBKMTBYPTK-BJDJZHNGSA-N', 'YPZRWBKMTBYPTK-BJDJZHNGSA-L'}"
spinacia oleracea,QGJZLNKBHJESQX,391.364375,2,195.6821875,455.7,0,spinacia oleracea,1,{'QGJZLNKBHJESQX-FZFNOLFKSA-M'}
spinacia oleracea,MIJYXULNPSFWEK,391.364345,2,195.6821725,455.7,1,spinacia oleracea,1,{'MIJYXULNPSFWEK-GTOFXWBISA-M'}
spinacia oleracea,MPDGHEJMBKOTSU,391.364285,2,195.6821425,469.7,0,spinacia oleracea,1,{'MPDGHEJMBKOTSU-VOPRYAMFSA-M'}
spinacia oleracea,ORAJWSYKRGVTDP,376.128046,4,94.0320115,179.19,0,spinacia oleracea,1,{'ORAJWSYKRGVTDP-UHFFFAOYSA-N'}
spinacia oleracea,UQFZKTIHSICSPG,365.34738,2,182.67369,443.7,0,spinacia oleracea,1,{'UQFZKTIHSICSPG-DSHYQQBWSA-M'}
spinacia oleracea,REFJWTPEDVJJIY,361.6862297,10,36.16862297,302.23,0,spinacia oleracea,1,"{'REFJWTPEDVJJIY-UHFFFAOYSA-N', 'REFJWTPEDVJJIY-UHFFFAOYSA-M'}"
spinacia oleracea,PKYFHKIYHBRTPI,359.64243936,6,59.94040656,217.12,0,spinacia oleracea,1,"{'PKYFHKIYHBRTPI-UHFFFAOYSA-L', 'PKYFHKIYHBRTPI-UHFFFAOYSA-N'}"
spinacia oleracea,WCGUUGGRBIKTOS,355.45605,2,177.728025,456.7,0,spinacia oleracea,1,{'WCGUUGGRBIKTOS-GPOJBZKASA-N'}
spinacia oleracea,HLAWVOWADPNAGN,352.39778700000005,3,117.465929,410.7,0,spinacia oleracea,1,{'HLAWVOWADPNAGN-BAHZUFOISA-N'}
spinacia oleracea,RQFCJASXJCIDSX,326.30770706,17,19.19457100352941,361.2,0,spinacia oleracea,1,"{'RQFCJASXJCIDSX-UUOKFMHZSA-L', 'RQFCJASXJCIDSX-UUOKFMHZSA-N'}"
spinacia oleracea,IVLBHBFTRNVIAP,311.884298,9,34.653810888888884,791.0,0,spinacia oleracea,1,"{'IVLBHBFTRNVIAP-MEGGAXOGSA-N', 'IVLBHBFTRNVIAP-MEGGAXOGSA-K'}"
