,inchi_key,sum,no_reactions,average,mass,experiment,plant,sum_class,inchi_keys
zea mays,XPPKVPWEQAFLFU,12247.70862317,312,39.255476356314105,174.95,0,zea mays,1,"{'XPPKVPWEQAFLFU-UHFFFAOYSA-K', 'XPPKVPWEQAFLFU-UHFFFAOYSA-N'}"
zea mays,KDYFGRWQOYBRFD,8796.633935399997,91,96.66630698241758,118.09,1,zea mays,1,"{'KDYFGRWQOYBRFD-UHFFFAOYSA-L', 'KDYFGRWQOYBRFD-UHFFFAOYSA-N'}"
zea mays,XJLXINKUBYWONI,3815.26818969,413,9.237937505302664,744.4,0,zea mays,1,"{'XJLXINKUBYWONI-NNYOXOHSSA-O', 'XJLXINKUBYWONI-NNYOXOHSSA-K'}"
zea mays,XCCTYIAWTASOJW,3767.518275669999,191,19.725226574188483,401.14,0,zea mays,1,"{'XCCTYIAWTASOJW-XVFCMESISA-N', 'XCCTYIAWTASOJW-XVFCMESISA-K'}"
zea mays,UDMBCSSLTHHNCD,3193.3306973299996,155,20.60213353116129,347.22,1,zea mays,1,"{'UDMBCSSLTHHNCD-KQYNXXCUSA-L', 'UDMBCSSLTHHNCD-KQYNXXCUSA-N'}"
zea mays,NBIIXXVUZAFLBC,2609.0656657644586,362,7.207363717581386,97.995,1,zea mays,1,"{'NBIIXXVUZAFLBC-UHFFFAOYSA-L', 'NBIIXXVUZAFLBC-UHFFFAOYSA-N'}"
zea mays,ZJUKTBDSGOFHSH,2471.595954200001,126,19.615840906349206,384.41,1,zea mays,1,{'ZJUKTBDSGOFHSH-WFMPWKQPSA-N'}
zea mays,QGWNDRXFNXRZMB,1628.6151183399998,38,42.85829258789474,440.18,0,zea mays,1,"{'QGWNDRXFNXRZMB-UUOKFMHZSA-K', 'QGWNDRXFNXRZMB-UUOKFMHZSA-N'}"
zea mays,LTYOQGRJFJAKNA,1095.2131160000001,34,32.212150470588234,853.6,0,zea mays,1,"{'LTYOQGRJFJAKNA-DVVLENMVSA-I', 'LTYOQGRJFJAKNA-VFLPNFFSSA-N'}"
zea mays,XTWYTFMLZFPYCI,1072.7298019744626,346,3.100375150215207,427.2,0,zea mays,1,"{'XTWYTFMLZFPYCI-KQYNXXCUSA-K', 'XTWYTFMLZFPYCI-KQYNXXCUSA-N'}"
zea mays,QXJSYJRWEUENRT,923.3999500000001,6,153.89999166666666,216.27,0,zea mays,1,{'QXJSYJRWEUENRT-PSAUJTBTSA-N'}
zea mays,ZWIADYZPOWUWEW,865.3396303999999,20,43.26698152,403.18,0,zea mays,1,"{'ZWIADYZPOWUWEW-XVFCMESISA-K', 'ZWIADYZPOWUWEW-XVFCMESISA-N'}"
zea mays,CWYNVVGOOAEACU,836.211053,12,69.68425441666666,55.84,0,zea mays,1,{'CWYNVVGOOAEACU-UHFFFAOYSA-N'}
zea mays,IERHLVCPSMICTF,817.5075827,42,19.464466254761906,323.2,1,zea mays,1,"{'IERHLVCPSMICTF-XVFCMESISA-L', 'IERHLVCPSMICTF-XVFCMESISA-N'}"
zea mays,QBUVFDKTZJNUPP,802.3645939999999,5,160.4729188,580.0,0,zea mays,1,{'QBUVFDKTZJNUPP-BBROENKCSA-L'}
zea mays,MXYATHGRPJZBNA,778.235305,5,155.647061,302.5,0,zea mays,1,"{'MXYATHGRPJZBNA-BDUQCRIQSA-M', 'MXYATHGRPJZBNA-BDUQCRIQSA-N'}"
zea mays,RHGKLRLOHDJJDR,741.3202759999999,6,123.55337933333334,175.19,1,zea mays,1,{'RHGKLRLOHDJJDR-BYPYZUCNSA-N'}
zea mays,INPDFIMLLXXDOQ,740.02076,2,370.01038,584.671,0,zea mays,1,{'INPDFIMLLXXDOQ-UAWLBFNISA-L'}
zea mays,IMGVNJNCCGXBHD,700.688399,9,77.85426655555555,783.0,0,zea mays,1,{'IMGVNJNCCGXBHD-UYBVJOGSSA-K'}
zea mays,XOHUEYCVLUUEJJ,574.3070470000001,6,95.71784116666666,261,0,zea mays,1,"{'XOHUEYCVLUUEJJ-UWTATZPHSA-I', 'XOHUEYCVLUUEJJ-UWTATZPHSA-N'}"
zea mays,NGVDGCNFYWLIFO,558.5170935,11,50.77428122727272,247.14,0,zea mays,1,"{'NGVDGCNFYWLIFO-UHFFFAOYSA-L', 'NGVDGCNFYWLIFO-UHFFFAOYSA-N'}"
zea mays,IGSYEZFZPOZFNC,531.6855800000001,3,177.22852666666668,368.25,0,zea mays,1,"{'IGSYEZFZPOZFNC-LKIWRGPLSA-N', 'IGSYEZFZPOZFNC-MMGXBETBSA-L'}"
zea mays,JXJIQCXXJGRKRJ,521.48996,3,173.82998666666668,192.3,0,zea mays,1,{'JXJIQCXXJGRKRJ-KOOBJXAQSA-N'}
zea mays,WHUUTDBJXJRKMK,505.27723016299996,132,3.827857804265151,147.13,1,zea mays,1,"{'WHUUTDBJXJRKMK-UHFFFAOYSA-N', 'WHUUTDBJXJRKMK-VKHMYHEASA-N', 'WHUUTDBJXJRKMK-VKHMYHEASA-M'}"
zea mays,NCMVOABPESMRCP,476.73270266,13,36.67174635846154,305.18,0,zea mays,1,"{'NCMVOABPESMRCP-SHYZEUOFSA-N', 'NCMVOABPESMRCP-SHYZEUOFSA-L'}"
zea mays,PSQYTAPXSHCGMF,434.44000000000005,4,108.61,192.3,0,zea mays,1,{'PSQYTAPXSHCGMF-BQYQJAHWSA-N'}
