,average,experiment,inchi key,inchi_keys,mass,no_reactions,plant,sum,sum_class
prunus persica,-10.80405415625,1.0,HXXFSFRBOHSIMQ,"{'HXXFSFRBOHSIMQ-VFUOTHLCSA-N', 'HXXFSFRBOHSIMQ-FPRJBGLDSA-N', 'HXXFSFRBOHSIMQ-RWOPYEJCSA-N', 'HXXFSFRBOHSIMQ-SXUWKVJYSA-N', 'HXXFSFRBOHSIMQ-BYIBVSMXSA-L', 'HXXFSFRBOHSIMQ-FPRJBGLDSA-L', 'HXXFSFRBOHSIMQ-SQHQMROCSA-N', 'HXXFSFRBOHSIMQ-RWOPYEJCSA-L', 'HXXFSFRBOHSIMQ-VFUOTHLCSA-L', 'HXXFSFRBOHSIMQ-SXUWKVJYSA-L'}",260.14,32.0,prunus persica,-345.729733,0.0
prunus persica,1.5596923000000003,0.0,PAFLSMZLRSPALU,{'PAFLSMZLRSPALU-MRVPVSSYSA-M'},197.16,2.0,prunus persica,3.1193846000000005,1.0
prunus persica,4.5176086,0.0,NWBJYWHLCVSVIJ,{'NWBJYWHLCVSVIJ-UHFFFAOYSA-N'},225.25,2.0,prunus persica,9.0352172,1.0
prunus persica,11.963501,0.0,FDPIMTJIUBPUKL,{'FDPIMTJIUBPUKL-UHFFFAOYSA-N'},86.13,1.0,prunus persica,11.963501,1.0
prunus persica,-0.899955741211,0.0,ULXBEUBSYSSVTP,{'ULXBEUBSYSSVTP-ZOTFFYTFSA-N'},611.1612,2.0,prunus persica,-1.799911482422,0.0
prunus persica,-4.352480375,0.0,YYUZYSVPFVOYLB,"{'YYUZYSVPFVOYLB-RGUWMICCSA-N', 'YYUZYSVPFVOYLB-RGUWMICCSA-J'}",983.8,4.0,prunus persica,-17.409921500000003,0.0
prunus persica,50.0953134,0.0,RLRGKMMFFVWPHT,{'RLRGKMMFFVWPHT-NUYPAGBLSA-M'},469.7,2.0,prunus persica,100.1906268,1.0
prunus persica,8.802358333333332,0.0,VOJUXHHACRXLTD,"{'VOJUXHHACRXLTD-UHFFFAOYSA-M', 'VOJUXHHACRXLTD-UHFFFAOYSA-N'}",204.18,3.0,prunus persica,26.407075,1.0
prunus persica,-1.568420222222223,0.0,IGMNYECMUMZDDF,"{'IGMNYECMUMZDDF-UHFFFAOYSA-M', 'IGMNYECMUMZDDF-UHFFFAOYSA-N'}",167.14,9.0,prunus persica,-14.115782,0.0
prunus persica,-5.1435545000000005,0.0,CVXIEYXJQSRIAC,{'CVXIEYXJQSRIAC-KLUYZAHOSA-N'},466.7,2.0,prunus persica,-10.287109000000001,0.0
